Nuccore	Superkingdom	Phylum	Class	Order	Family	Subfamily	Genus	Species	Assembly	Genus_source
ON645339.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Streptomyces phage Sham	GCA_024606115	Streptomyces
MN369754.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Annadreamyvirus annadreamy	GCA_009673145	Streptomyces
MW822145.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Streptomyces phage TunaTartare	GCA_018987215	Streptomyces
MH536811.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Annadreamyvirus annadreamy	GCA_003354185	Streptomyces
MH536814.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Annadreamyvirus blueeyedbeauty	GCA_003365655	Streptomyces
MT684598.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Streptomyces phage Faust	GCA_014518015	Streptomyces
MT952852.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Annadreamyvirus	Streptomyces phage Beuffert	GCA_014892985	Streptomyces
MZ820093.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Streptomyces phage Forrest	GCA_020494145	Streptomyces
MZ820094.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Streptomyces phage Jada	GCA_020494155	Streptomyces
MZ820095.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Gilsonvirus comrade	GCA_020494165	Streptomyces
ON456343.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Streptomyces phage Stigma	GCA_024372165	Streptomyces
ON208830.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Streptomyces phage Emma1919	GCA_023700045	Streptomyces
MH590589.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Gilsonvirus comrade	GCA_003366675	Streptomyces
MH651172.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Gilsonvirus comrade	GCA_003442695	Streptomyces
MK061412.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Gilsonvirus gilson	GCA_004015365	Streptomyces
MT114162.1	Viruses	Uroviricota	Caudoviricetes		Stanwilliamsviridae	Loccivirinae	Gilsonvirus	Streptomyces phage Moab	GCA_011896965	Streptomyces
