replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	Accession	System	Length_sys	Dist_sys_close	Sys_close	Nb_sys_close	ID_sys_close	Type_sys_close	Assembly	Nuccore	Superkingdom	Phylum	Class	Order	Family	Subfamily	Genus	Species	Genus_source
GCA_016759125.1_ASM1675912v1_translated_cds	lcl|MW366843.1_prot_QQO90166.1_24	dam	24	ADF/Anti_RM/dam	GCA_016759125.1_ASM1675912v1_translated_cds_dam_2	1	1	1.0	1	dam	mandatory	278	8.900000000000001e-89	291.9	1.0	1.0	1	278	QQO90166.1	dam	1	88364.0					GCA_016759125	MW366843.1	Viruses	Uroviricota	Caudoviricetes				Yoloswagvirus	Erwinia phage pEa_SNUABM_5	Erwinia
GCA_016759125.1_ASM1675912v1_translated_cds	lcl|MW366843.1_prot_QQO90388.1_246	acb1	246	ADF/Anti_CBASS/acb1	GCA_016759125.1_ASM1675912v1_translated_cds_acb1_1	1	1	1.0	1	acb1	mandatory	165	4e-17	56.6	0.804	0.752	14	137	QQO90388.1	acb1	1	88364.0					GCA_016759125	MW366843.1	Viruses	Uroviricota	Caudoviricetes				Yoloswagvirus	Erwinia phage pEa_SNUABM_5	Erwinia
GCA_016759145.1_ASM1675914v1_translated_cds	lcl|MW349128.1_prot_QQO92608.1_214	apyc1	214	ADF/Anti_Pycsar/apyc1	GCA_016759145.1_ASM1675914v1_translated_cds_apyc1_1	1	1	1.0	1	apyc1	mandatory	283	1.4000000000000001e-30	100.5	0.782	0.965	2	274	QQO92608.1	apyc1	1						GCA_016759145	MW349128.1	Viruses	Uroviricota	Caudoviricetes					Staphylococcus phage Machias	Staphylococcus
GCA_016103715.1_ASM1610371v1_translated_cds	lcl|MW175414.1_prot_QPN96318.1_52	acriia7	52	ADF/Anti_Thoeris/tad2_acriia7	GCA_016103715.1_ASM1610371v1_translated_cds_tad2_acriia7_1	1	1	0.8	1	tad2	mandatory	161	1.2000000000000001e-30	98.0	0.694	0.509	78	159	QPN96318.1	tad2_acriia7	1						GCA_016103715	MW175414.1	Viruses	Uroviricota	Caudoviricetes		Schitoviridae	Enquatrovirinae	Enquatrovirus	Enquatrovirus N4	Escherichia
GCA_016759175.1_ASM1675917v1_translated_cds	lcl|MW448170.1_prot_QQO91483.1_84	acb2	84	ADF/Anti_CBASS/acb2	GCA_016759175.1_ASM1675917v1_translated_cds_acb2_2	1	1	1.0	1	acb2	mandatory	89	1.1e-14	48.8	0.926	0.944	5	88	QQO91483.1	acb2	1	49216.0					GCA_016759175	MW448170.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae		Slopekvirus	Klebsiella virus PMBT1	Klebsiella
GCA_016759175.1_ASM1675917v1_translated_cds	lcl|MW448170.1_prot_QQO91590.1_191	acb1	191	ADF/Anti_CBASS/acb1	GCA_016759175.1_ASM1675917v1_translated_cds_acb1_1	1	1	1.0	1	acb1	mandatory	207	1.6e-47	155.0	0.935	0.71	13	159	QQO91590.1	acb1	1	49216.0					GCA_016759175	MW448170.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae		Slopekvirus	Klebsiella virus PMBT1	Klebsiella
GCA_016759175.1_ASM1675917v1_translated_cds	lcl|MW448170.1_prot_QQO91650.1_251	dam	251	ADF/Anti_RM/dam	GCA_016759175.1_ASM1675917v1_translated_cds_dam_3	1	1	1.0	1	dam	mandatory	283	9.1e-109	357.2	1.0	0.943	1	267	QQO91650.1	dam	1	51377.0					GCA_016759175	MW448170.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae		Slopekvirus	Klebsiella virus PMBT1	Klebsiella
GCA_016455635.1_ASM1645563v1_translated_cds	lcl|MW021752.1_prot_QPX73700.1_56	alt	56	ADF/Anti_TA/alt	GCA_016455635.1_ASM1645563v1_translated_cds_alt_3	1	1	1.0	1	alt	mandatory	708	7.2e-231	762.4	0.996	0.999	1	707	QPX73700.1	alt	1	47687.0					GCA_016455635	MW021752.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Tevenvirinae	Jiaodavirus	Jiaodavirus jd18	Klebsiella
GCA_016455635.1_ASM1645563v1_translated_cds	lcl|MW021752.1_prot_QPX73749.1_108	acb1	108	ADF/Anti_CBASS/acb1	GCA_016455635.1_ASM1645563v1_translated_cds_acb1_1	1	1	1.0	1	acb1	mandatory	151	2.3999999999999996e-69	225.9	0.993	0.987	1	149	QPX73749.1	acb1	1	14264.0					GCA_016455635	MW021752.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Tevenvirinae	Jiaodavirus	Jiaodavirus jd18	Klebsiella
GCA_016455635.1_ASM1645563v1_translated_cds	lcl|MW021752.1_prot_QPX73777.1_141	acb2	141	ADF/Anti_CBASS/acb2	GCA_016455635.1_ASM1645563v1_translated_cds_acb2_2	1	1	1.0	1	acb2	mandatory	91	1.3e-11	39.0	0.916	0.934	5	89	QPX73777.1	acb2	1	14264.0					GCA_016455635	MW021752.1	Viruses	Uroviricota	Caudoviricetes		Straboviridae	Tevenvirinae	Jiaodavirus	Jiaodavirus jd18	Klebsiella
