replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
Bas31	Bas31_00080	rad	2803	defense-finder-models/ADF/Anti_Retron/rad	Bas31_rad_131	1	1	1.0	1.0	1	rad	mandatory	172	1.1e-67	226.3	0.977	0.959	5	169			Anti_Retron	rad	Antidefense
Bas31	Bas31_00096	orf148	2810	defense-finder-models/ADF/Other/orf148	Bas31_orf148_130	1	1	1.0	1.0	1	orf148	mandatory	115	1.2e-45	153.6	0.982	0.913	1	105			Other	orf148	Antidefense
Bas32	Bas32_00082	rad	2963	defense-finder-models/ADF/Anti_Retron/rad	Bas32_rad_133	1	1	1.0	1.0	1	rad	mandatory	172	1.4e-67	226.0	0.977	0.959	5	169			Anti_Retron	rad	Antidefense
Bas32	Bas32_00099	orf148	2970	defense-finder-models/ADF/Other/orf148	Bas32_orf148_132	1	1	1.0	1.0	1	orf148	mandatory	115	8.4e-46	154.1	0.982	0.913	1	105			Other	orf148	Antidefense
Bas33	Bas33_00081	rad	3123	defense-finder-models/ADF/Anti_Retron/rad	Bas33_rad_135	1	1	1.0	1.0	1	rad	mandatory	172	4.6e-68	227.6	0.977	0.959	5	169			Anti_Retron	rad	Antidefense
Bas33	Bas33_00099	orf148	3132	defense-finder-models/ADF/Other/orf148	Bas33_orf148_134	1	1	1.0	1.0	1	orf148	mandatory	115	1.6e-45	153.1	0.982	0.913	1	105			Other	orf148	Antidefense
Bas35	Bas35_00031	alt	3378	defense-finder-models/ADF/Anti_TA/alt	Bas35_alt_27	1	1	1.0	1.0	2	alt	mandatory	685	2.2e-238	792.6	0.997	0.999	1	684			Anti_TA	alt	Antidefense
Bas35	Bas35_00032	alt	3379	defense-finder-models/ADF/Anti_TA/alt	Bas35_alt_27	1	1	1.0	1.0	2	alt	mandatory	682	9.7e-261	866.4	0.999	0.999	1	681			Anti_TA	alt	Antidefense
Bas35	Bas35_00089	arn	3436	defense-finder-models/ADF/Anti_RM/arn	Bas35_arn_28	1	1	1.0	1.0	1	arn	mandatory	92	4.1e-61	202.9	1.0	1.0	1	92			Anti_RM	arn	Antidefense
Bas35	Bas35_00141	adfa	3488	defense-finder-models/ADF/Anti_DarTG/adfa	Bas35_adfa_26	1	1	1.0	1.0	1	adfa	mandatory	208	5e-132	437.0	1.0	1.0	1	208			Anti_DarTG	adfa	Antidefense
Bas35	Bas35_00143	tifa	3490	defense-finder-models/ADF/Anti_TA/tifa	Bas35_tifa_30	1	1	1.0	1.0	1	tifa	mandatory	85	1e-46	156.0	1.0	0.976	1	83			Anti_TA	tifa	Antidefense
